track_id,lyrics
546,"north of february  My, my, my, my, my, my, my, my, my, my, my, my, my, my money, my.  Saturday Rooms, say that dot, dot, dot, dot,  Van Vroo, the lane.  Old Dixie down.  What can I say?"
602,"I feel extra, too old, disappearing in the dark spots"
621,"Blue eyed baby cries in a cradle.  Mama said to Papa, look at them eyes.  Over the ocean in a great ship,  the captain said to the cabin boy,  look at that water."
625,"Richard was a miner, he dug a hole in the ground.  He went down to find another sound."
676,"Every nine months she go to the trash can, babies return them, hookers in my environment  Sex fiends surprised how much the clit, some prostitutes can't even sell a piece of cooch  But four pieces of bread and a can of tuna fish  In a schema theme the whole is foolish, knight of the living pimps ruler  Well please get laughed at, and you better know where you got at"
694,"I'm walking in your jean pool doing laps.  Bird of prey high.  I'm walking when I got my talent sharpened.  Take cover when you hear the bleep, whips, and flap.  Bullshit like Spider-Man villains that sold in green.  Or birds that creep deserts looking for dry canteen.  The other V could really mean whatever y'all wanted to mean.  I'm thinking very vicious.  Spooky biscuits, which means I spit cream.  Which means I rap nice.  Which means I got lines like Jack Kirby.  Shit tight.  Which means it really doesn't matter what you write.  We told you that.  Overlap.  Melt your face like..."
695,My name is  Frank  I'm  Frasier Crane  Cheers  You're a clown with no claws  And I make you bust a mean Jackson Pollock in your drawers  I'm not a man like you  I'm not a man like you  I'm not a man like you  Everybody likes to touch somebody sometimes  Not everybody can touch me though  You're not a bitch  You're no stupid  Don't get duped by your duplex  Kiss suicide chic  Here's a brand new noose to get  I rock a bed and you don't like my style  What?  Excuse me?  Looking at your hundred dollar clothes  When you get those  Is that the total for your shit?  Oh yes it
705,"Dale, dale tío.  Dale, dale tío, tío.  Dale, dale tío.  Dale, dale tío.  Dale, dale, tío.  Dale, dale, tío, tío.  Dale, dale, tío."
708,"🎵🎵🎵  Tartamudo, tuerto, cuerpo cruzado de rascaduras"
709,From the mountains to the sea  In the world of the future  We will all tell  Immigrant rights  Health care  Education for all  National security  Immigrant rights  Health care  Education for all  National security  Let's make a
718,"One by one my leaves must fall, one by one my leaves must fall,  Soon these will take their eyes, and will look very true.  For the wind is not too good, but before the autumn  the wind turns to flame, turns to flame."
777,"Tongue and throat are relaxing.  Allow the muscles in your head and face to go loose and heavy.  All over your face, all over your forehead and scalp.  Eyelids, lips, jaw, tongue, throat."
814,Outside of lines  Colorful light and memories  To understand  Don't mind
821,"Sir, hey, sir, hey, hey, hey, hey, hey, hey, hey  I like to keep it simple  Says what I means without too many tenses  I don't waste words"
993,"We are Marriott, so I've been told  We've been married from far below  With the area of so I've been told  Here in snow, my head  Time to go back to bed  Slow, slow, we've been there  To tell you we've been there  Time to be fun friends  He will see no deep returns on the sand"
998,A lot of people are still watching this video.  It's not a bad thing to watch.  I hope you guys enjoyed it.  I'll see you in the next one.  Bye!
1066,zogen  all  all  all  all  all  all  all  all  all  you
1193,"That was me, a gold digger, underground  Quickly forgotten was this forgetful way of life  When I left home, when I lived"
1195,"Cold and wet, I will be clean  I want to come back from this rain"
1196,"It seemed to say as it lay down your shoulder blade  Leave me alone  Can't you let me be tucked in that young white doctor  With a plain long stare, I know"
1197,I wanted her so bad I waited around in a burning down house  For the phone
1276,"Their president's a crook, but I'm not a crook, crook, crook  And I don't dream about the president anymore  Crook, crook, as a flower she grew  And all of my friends they say that they don't either  Crook, crook, and as a fair young flower she died  Richard Nixon died today  Poppycock  I saw it on the news they said  Because people have got a home  Oh I guess he was"
1427,Now I feel like a burial mound  What is the last off my head?  We built cells  If I will fail  Something to side with
1510,No!  Garfield the movie!  Give it to the police officers here!  No!
1642,"And you're very welcome back to Radio SoCal 102.4 FM.  Coming up next we have the news, let's follow by sports and weather and then the very funnest"
1644,"[""I Don't Get Invitations To The Lions Club""]"
1661,"Tv's, depression's David Boehe, LB's  All games, goal changed, what's our names in that?  A bunch of Trevor fans, the strike's six from a motion  Champions push, push, push, push, push, push, push  No income tax, no VAT  No money back, no guarantee  Black or white, rich or poor  Wheel cut forces at a stroke  God bless Hockey Street  Viva Hockey Street"
1663,She's gonna get so high with you  She's gonna get real high  She's gonna get so low  She's gonna get so high  She's gonna get real high
1666,Aphelia  Aphelia  She fell through the trees  Aphelia  She fell through the breeze  Aphelia  She fell through the trees  Aphelia
1688,Inio no ni jukiya  Oono ya fika manuyo  Nwenye weku ya sikiya  Mm si jidan ya neyamu  Mona ano ni ariyo  Ame pende nejwa neyamu  Ame pende nejwa neyamu
1689,"Oh Nalo, oh Nalo, oh Nalo lina cucina, Nalo le bevo ganja.  Oh Nalo, oh Nalo, oh Nalo lina cucina."
1702,"🎵  🎵 All else desire, you feel commonly fired 🎵  🎵 Until... 🎵  🎵 The time for action is done 🎵"
1704,"[""The Star-Spangled Banner""]  Oh, roast oh my illusion of you, I miss more than you saw."
1706,"Swim Stops by Steps  Misty Highland  Like grace, smoking or boosts  The reason's getting through  And you too, win this back  I'm blubbing sandwich right  But don't you let your waters  Run run run right there  Unless you want to see the devil  Don't you let your waters  Run run run right there  Unless you want to see the devil"
1883,"You say I look at less, well you know how to use the door  Then you say I got no class, well it's not like I did before  You knew what I was all about when we first started making out  Now you're trying to turn me out, oh no  Oh, oh, oh, oh  You say my hair's a mess, well baby that's just my skin"
1893,"I look far away from here, the vision is not so clear,  the one thing I knew I feel"
1925,We'd like to bring unto ourselves  Never notice later on  This evening by your side  We cannot be above you  I believe we're happy at the wheel
3271,"People come and go, and don't they know, paradise is now, it's all around, it's all around.  I hear a sound, I feel the sound"
3272,"On the way to the waves come, on the way..."
3492,I'm coming in the morning  Step onto the breezy ship of ruling  Stretch out on the deck until you're everywhere
3532,Heaven is only human  Heaven is only human  There is a day  There on the wall  Tearing the pages  Watching them fall  Watching them fall  Watching them fall
3533,"[""I've Got a New Spoke""]  Cause I've got a new spoke, a new spoke  Be careful what you say and do"
3534,"The day is done  We're all in a cosmic  Sing along  Till the world is gone  Sing along, sing along, sing along"
3535,"No calls, no calls, we'll never have any, not a plan nor a penny"
3537,"Oh no, now we'll never dream again  No, now we'll never dream again"
3538,"Oh, we'll never know  Say you will, you will  Don't be shy, look to the sky"
3598,"Oh, what am I?  I see you in the night, but the sun never sets and the moon never shines.  Little eyes, little eyes.  Little eyes, little eyes."
3624,"Welcome back, photographing a broken band  I said woah woah woah, I should've known better  I said woah woah woah, now I shouldn't forget her  I said woah woah woah, I should've known better  I said woah woah woah, now I shouldn't forget her  Ted, remember..."
3707,Pushed I be out of the forest  And I'll blend in
3708,"If I had a little message I could leave you with  Pick it on the door  But I don't and it's just no use no more  Don't let me know  Oh, oh  Honey, I'll be hustling the make-up slide  Yeah"
3761,"A lot of people are still waiting for the next episode.  But before we go, I want to show you a little bit of the world around us.  We have a lot of things to do.  I hope you enjoy it!"
3762,"If you enjoyed this video, please subscribe to my channel."
3775,"Here is the house, listen!  From Carrera Serra, there it goes!  How beautiful are the hair of Barcelona, they are beautiful!"
3776,"A deu clave i murane, a deu estrella del dia  Tots quan n'he tingut prous diners  Que ha hecho chico? Chacho?  Hay que el robot  Hay que el robot  Hay que el robot  Hay que el robot, quicho  Ay ay ay ay ay ay ay ay"
3832,"Why moon above, go on tell me there is love  I will lose this shadow, I will find my way  Why moon above, go on tell me there is love  Why moon above, go on tell me there is love"
3895,"[""The Star-Spangled Banner""]  [""The Star-Spangled Banner""]"
3896,"[""The Star-Spangled Banner""]  [""The Star-Spangled Banner""]"
3904,"Sometimes it's only down, sometimes you just gotta take what comes around  Sometimes there's always more, then sometimes your world runs dry  Sometimes she gets a feeling you can fly"
3905,"Just might be the life you save And it might seem strange, but the old fun  road Can be home to the brave  But I never said it would be easy I never said it would be this way  I never said it would be this way"
3906,"There's always more, but then sometimes she well runs dry  And sometimes she gets a feeling you can fly  And sometimes there's no way up, and sometimes there's only down  And sometimes you just gotta take what comes around  But sometimes it's a clear blue sky, and then sometimes there's only rain  Sometimes it's a"
3909,We have left behind places others never get to  We have left behind places others never get to
3912,"[""Pirate King Theme from The Pirates of the Caribbean""]"
3921,"Your dream sweet little jewel, What can I do but sit softly by?  Watch your lovely sleeping eyes, Content to sigh, I have worth a thousand lullabies."
3950,in the rock click click bang bang  everybody  wants to save you  yes I know I  I sure do thank you  why can't you  look like you want to  well I'm  not sure that  I want to  and I've never been  afraid of broken hearts
4017,The woods around becoming thin  And I stand on my feet  I won't return your love
4022,"Come no more, what else can you do?  What, what can you do?  Probably, it's people that can see through your under-screwed-in-the-bottom-hole  Still the fucking head, still the fucking eyes  We will have a fucking ladyfinger now  Get down, get down, no more, what else can you do?  What else can you do?  What else can you do?  What can you do?"
4037,The Night's the Engine  The night's the engine  Of good-intentioned pairing  softly beside me
4068,I'm gonna go ahead and play a little bit of the guitar.
4070,"I'm living in a world with new eyes, a world with new eyes and I don't want to change it.  I'm living in a world with new eyes, a world with new eyes and I can't deny it.  Alguien será uno de los que estábamos y que decide."
4071,"The fantasy that what we want is nothing more than a stupidity  Other is the advice that the permission never leaves  Do what you want, there is always a way out  And what are you going to do? Let people tell you  How to handle your life  Think that they know better than you  Say goodbye"
4074,"I'm gonna be old one day and I'm gonna have a few years to live  My skin will have more wrinkles, my hair full of canes but I could say that I lived  I'm gonna be old one day and I'm gonna have a few years to live  My skin will have more wrinkles"
4075,Now I feel it in my heart  There is nothing that will change  I remember the moments of happiness
4077,I'll go back and the readings  The look that I'm passing  Cada vida tiene sus injusticias  Siempre hay gente que nos daña  No flogues en el camino  Te atrasan pero nunca te van  Keep it going!
4078,"No hay nadie como tú, en todo el mundo se yo, se yo y no yo.  No I'm not you come on"
4080,Tierra contra ilegales Pero todos sabemos que el trabajo  El en el grande nadie mas lo hace  Hay malos que esperan en la frontera Deben saber que nos estamos buscando también
4091,But on my way there I overheard an officer  Warn of an attack that very night
4096,"I saw it at the ballista, ya missus the last day, la ultima, ala reggae ala la man, el demon, el la man, el demon, la la man, el demon, el demon, el demon, el demon, el la man, el demon, el la man, el demon."
4097,"With a grin that indicated what she meant just might be a sin  Your hands are cold, let me warm them a while  She lifted up her dress and she slept, oh no you're not  She said take me by my innocent hand and walk me to the road  Take me to the place that I love, the place that I wanna go  Here we go!"
4100,"I'm not sure if I'm supposed to show you this, but I'm going to show you this."
4103,"This circus is very bad, very boring  Give me a little bit of air  The owner with his mugs says  The costumers asked for something very, very, very bad, very special"
4235,"Kaule aikani, ngambuna puri-puri-re.  Manu na'i ko ya'a ikani, ngambuna puri-puri-re.  Eko'eli ha'adu ha'jani, ha'be na'a li'li'li'la'y."
4236,I want to be a woman  I need to be a woman  I want to be a woman  Kumbhanuka Vigomu
4507,"I was so depressed  Without thinking, I gave him  the best of my being  Every time he lied, he was a good speaker  I knew it, but I loved him  How not to lose my head  Tightened by arms"
4508,I'm going to sing a little bit of the song.
4510,"And I love it.  It's a real squabble, as if it's just a past.  But I have to say that it's a real squabble, as if it's just a past.  But I have to say that it's a real squabble, as if it's just a past.  But I have to say that it's a real squabble, as if it's just a past."
4519,"You're here to spank your ass, turn the song to fill you in on what you're missing  But when you're gone, you can't imagine the problem  It's all a lie, still kind of later than the magic dream"
4521,"It's not about where I can get it  From being my old dog, neighbor of names  From being my old dog, neighbor of names  From being my old dog, neighbor of names"
4682,I'm a  the  the  the  the  the  the  the  the  the
4685,"...jected.  Belted clenched jaw, teeth hurt, all infected.  Childhood resurrected with no mention.  We never had time to subtract from life's sentence.  Why divide by the three sections?  Some find them uncut, in glass vows, sun no difference.  Their existence, their world depicted by those still addicted.  The deities received intervenors.  Believers removed pure diction in attempts to deceive us.  The last of tacticians, acts of contrition,  lost in transmission."
4777,"So, so, so, so, I'll let go  I fire cracker, fire cracker, boop, boop, boop  I fire cracker, fire cracker, boop, boop, boop  My boy's got the muscles, and she's got the brains"
4779,"What kind of candy do you like?  And what is your dress size, Karen?  What do I want to know?  Oh, well, I guess I'm just curious, Karen.  Karen has a secret mind.  I am a secret.  Karen has a secret mind."
4780,"Too much, Y-y-y-y-y-dreadle-thoc deh me break my screen  Too much, Y-y-y-y-y-y-dreadle-thoc deh me do  Too many things"
4782,"My boyfriend, John Leslie, John Leslie  There's a thing with a hook, boy, that's our girlfriend  Part of the love is lame, part of the love is lame  There's a thing with a hook, boy, that's our boyfriend  John Leslie, John Leslie  The psychiatrist said he isn't even human  They tracked him down to the house he used to live in many years ago  The police stopped..."
4784,"Back a road fair and cold  Said, said, said, necessary  Somebody better tip the knives  Back a road fair and cold"
4785,"I think about you, Patty said.  I think about you, Mary Shick.  I think about you, Larry Daffoe.  I think about you, Malcolm."
4787,"I saw her face, and then I saw her back, after I've seen her eyes, I knew that she would"
4788,"Record dancing, record dancing  Show you evil records  Make you act like a such animal  Throw them on the fire  On the fire to burn  Here we go!"
4835,I got it up everywhere  You got it up everywhere  I got you up everywhere  You got it up everywhere  I want it up everywhere  Yeah!  WOOOOW!
4838,"In the end, the game was over.  But the game was still a bit too much for me.  So I decided to start over.  And I finally got to the end of the game.  I have to admit, I was a little nervous.  But I made it through.  So I was able to do it.  And I was able to finish it.  But I was able to finish it.  I did it!  I did it!  I did it!  I did it!  I did it!  Don't sing too much!"
4848,I fail. It's the Rubin Museum of Art 150 West 17th Street. r-m-a-n-y-c dot org. And if you  have some time to walk around there check out their Tibetan collection which is really amazing.  That's my tip. And eight o'clock tonight. So this will be that's a thrill and it's great to have a  little little sneak little intimate sneak preview and then after.
5006,"When the time comes, I will hold my love  Fulfill the landing on so long  Tomorrow's just another day  That's now with some old men  With the same old answers and the same old questions  Now that it's here and now"
5170,"If you enjoyed this video and would like to see my other videos, feel free to subscribe."
5191,The one who judge you say what you feel is your fate
5264,Baratheon  Rock question mark  Amplify brainwaves to condense my thought  Benz to drop  Rock question mark  Amplify brainwaves to condense my thought  Benz to drop  Rock question mark
5268,"Sippin' Nature, great sorter in my states  This life of crumbled paste, so a street po  Thickie gutter poems at eight ohms  A balanced chrome speaks my misery  Forgotten history through my degree  These kids don't rock, speaking on what they have not  Swear to God they hot like them weed spots  Equip the pull that clock for whatever skills they got  Where's my culture?  Where's my culture?  Three rocks bless before them hit the floor  I took the bottle to the chest"
5521,I can't hear alone  Now the beating of our hearts is only sound  Teenage Spirit
5879,He left it in 1970  President of Chile  He started to give back  All the stolen lands  To the Mapuche  Because he saw
5936,Through eternity  I used to live a rock and roll life  Offering free rights in my soul  Roll
5940,"Maybe put up a cup of coffee or tea  Put on a record, watch a movie  Maybe cook up a meal for my echo, my shadow in me  But alone here I sit, not too blue, just a bit  Maybe I'll sit at the piano and play  It always sounds better in inclement weather  And I'm all alone when it rains"
6333,Jaranali Ahali Anabani Delhi  Is the man of our dreams  Jaranali Ahali Anabani Delhi  Is the man of our dreams  My cast
6363,"Hello world!  Ghanel, oh Ghanel, look at this world  Hello, hello, hello, hello, hello, hello, hello  Look into my eyes, oh my beautiful  Hello, hello, hello, hello, hello, hello, you"
6385,"Hava Nagila Hava Nagila Hava Nagila Venus Mika  Ha ha, Nagila ha ha, Nagila ha ha, Nagila be smika, ha ha"
6389,"Opa, ke kojina mia  Kuala ho, lala ho, echi  Opa, ke kojina mia  Kuala ho, lala ho, echi  Opa, ke kojina mia"
6406,"On the surface of the hungry stones  There are running waters in the rising tides  The wash of the laser beams, blue faces"
6439,"Another black thing, yeah, my black bra sing, my black bra sing for the crossover  DJ M  Eyo, it's the crossover  EPMG, yeah, one time  Yo  Yo, fellas, listen, in the house  The rap era's out of control, brother selling his soul, a go-go  Goldie, Goldie, gone, another rapper sold  The pop and R&B, not the MD  I'm sick"
6440,"We smoke crack, we smoke MCs, so pick up a pen, cop a squat and take note, rap myself a completed sprays and slip notes, my style delis like a Pascal Pettig, rap a show like a carburetor, fuse up in panic, cause I'm like Pacqueso, don't show Dejo, another word for cocaine, me amigo, that's Spanish, terminology for friends, I sit back and bob a Bozak as I sin, bass bump when Pete stacked up, so kickers and ants coal lined up in my trunk, my sisters cranking my headlights, I blink and brothers riding my dick L, and at the same time they get damn, how could a brother be so nice?"
6442,"In the school of hard luck, I'm the principal, Batman Joe  If we suffer repercussions, coming through the way bussing  Crime scene, house to drama, niggas ducking when we come through  Throwing the jabs in the one-two, laying niggas out  They trapped when we run through, like a marathon  Flotted with the diamonds on, PMDing in the east  Getting their fucker bombing on, back to Benz through house  With the sack, grab a face in the whiz, piling with the big win  Off the meter, and every time we reach the dip top  You don't stop, yo"
6448,"Because my hands got the clapping, the fingers got the snapping  Me and E was cool and big and spirits we was snapping  In and out of fantasy is not how large we can get  Cool the rocks and bends with the ground effect kicks  I wanted black, E was on the two toes  Stupid movement systems with the hands we fold  The dream gets better and I would like to go on  But I was brought back to reality by a tune of a horn  Smoke everywhere, oh just what we needed  On the way shop our demo in a car reheated  Feeling real low, low enough to die  Holding up traffic on the FBI"
6461,"It came, the sun burns in love, like it never will.  Oh, you've been through some hell in your time."
6463,And stick to your dress  As dust sticks to them
6467,"My boots, stern shells and moths  Crush crayfish in their hull  Salamanders, black and orange  Midnight stars across their foes  Sail the rains down in the sky"
6469,"I was hurt like a moon, I'm dying, I'm dying, I can't go, I love, I can't go, I love"
6517,"If I get excited too much Fall into your hole  Ah ah ah, dreamlike  Ah ah ah, I'm going inside  Are you ready for me?  Lose your tension, lose your tension  Show your emotions"
6519,"Your fingers touch my lips, my tears so falling on your hand  Your whole life led to this, I only hope you understand, honey  Don't feel it"
6603,"WANDED OFF, INTO THE DEAD OF DARN  THE WOODS  FRESH OFF OF OUR REPRIVES  P.T. and height exist  TWO FRIENDS I'M CRUNCHING LEAVES  OUT IN THE WILDERNESS  THROWING STONES AND STUFF  IT TAKES THEM TO A PLACE  A TYPE OF LONELY BLUFF  MY MAN BULL-"
6605,"We can take this pick, so adjust the shutter speeds and exposure times  I got enough of what I need  To explode your lines into dust, into space  When I bust in your place, I see trash on the ground  And no rust in your face, height is raw when you speak  Sleep your wall full of leaks, we can walk on the roofs  Grabbin' the hawks by the beats, now  These half-hearted sneaks are gettin' caught in the dark lights  My shockwraps pop back, right when the clock strikes the run"
6606,We're at the door  Strangers were raging  They were staging the coup  We hit the floor  Kicked out the castle  We were thrown from the thrones  And we were left cussing and fussing  In a valley of bones  Outside of  Cavalcade  The Ghost
6607,"The gas  The world wants to hurt you but some they resist  They hold to their virtues and cut through the mist  Now most folks are broken or pushed to the side  The world wants to hurt you but all don't abide  The night is the secret, the key in the palm"
6608,"We hit the place in a pit with spikes fast when I dip for deep blast people out to sleep tight for my last surprise  Light that'll smash your eyes  Pounds coming out the dust sounds coming out of us  The pressure in the plan, dip the weight in the wax  This height keeps you big free, taking this to max  And we keep the beat playing like a fire was burning, like you didn't know before"
6609,"We are lost, like all these dreams, are growing moss  I see moonbeams, they're going off, they're cutting loose  And showing off, deep in the dark, they're going nuts  Terror attacks, below it cuts, horrible hands  Have thrown a dart, look at your life, you're blown apart  2009, nowhere to hide, to put it straight, I'm terrified  Cause once something affects my heart, it always seems"
6610,Beams coming out of my eyes  Height screams drumming up a surprise  When the clock struck 12  I was delving in that realm  When the clock struck 12  Delving in that realm  You can swim in the woods  Jog on a lake  Bounce off a spike  Apply on a snake
6611,"From the harsh, you should join us.  In the marsh, here's a key.  To all the spots, now you're free.  To call the shots.  I'll keep the water flowing.  You'll throw it through the wire.  We'll keep the hoses blowing.  Life in the forest fire.  Life will point us.  From the harsh, you should join us.  In the marsh, here's a key.  To all the spots, now you're free.  To call the shots."
6674,I'm not going to be talking about the  I'm just doing my best when I'm going the way I can try.
6779,I'm halted by the waxy shore My bride you never shall be  It's experiment
6782,"You are my sunshine, my only sunshine You make me happy when skies go gray  You'll never know dear how much I love you"
6783,Shelter so fast falls the snow  And I'm most racing to my thorn  My bad it is the bushes  My cover the green rose  She's cried the poor little fishman's girl  With friends all dead and gone
6854,"There was a time I would suffer in silence, feel like my pain didn't matter, didn't matter  I thought, keep on walking, just show your devotion, they don't know you at all  When I grew thorns, a sharp of spears, and I drowned my fears with books and with beer  There was a time I would suffer in silence, feel like my pain didn't matter, didn't matter"
6855,through your hands and then slips out like it was sand  in a shoes that you can never seem to fill  now  i've chased so much and lost my way  maybe a face for every day that so casually slipped me by  oh and time moves on like a train that disappears into the night sky  yeah i still got a sad feeling inside to see the red daylight
6856,"So I don't need to tell you, do I my girl?  No.  That you are sunshine, you're everything good in the world.  Yes you know I'm Vicky Bam."
6857,In the skin and bones  It's all I ever had and now it's gone
7376,He just fell out of here like Peter.  Like Peter.
7378,space don't be afraid to sail baby sail baby sail away with me  you've got the best dance moves that i've ever seen  don't be afraid to dance baby
7381,I'm going to go ahead and start the video.
7481,Lost control whatever it is that you believe you're seeing it's not not not not real  Things before they happen things are not always what they seem in this place  You can't take anything for granted  I'm escaping certain  When I stop going I will be well  Are you also
7482,"And that's where I come in.  We're in this together.  Do you ever look at this picture?  I mean, really look at it.  I think so. Why?  Has it ever moved?  No. Not to my knowledge, anyway.  I can make it move.  When I was a kid, we had a picture like this."
7483,Keep checking your reflection at body hell  We booming in the doom days with fire and wealth  Keep checking your reflection at body hell  So we dip dip drive on a lipstick slide  Highest gone cold smile made a bit quick rise  Misfit eyes match more the fly slide  Joke to make tile fly spoke to get a thighs high  Crime binds to the skyline cut the beans card  Weak slot deep thought go ride us in green pile
7487,"That little space within the heart  Get fucked up, have sex, what else is there?  Yo, can I hit that?  Who cares?  Get fucked up, have sex, what else is there?  There is as much in that little space within the heart  As there is in the whole world outside  How do I look?  Text me later  I can't read  Special times for special things  Special people  I can't think of any other words to give me one this entire time  Hell is, hell is, hell is, hell is like this  Missle Toe"
7488,"Please put me down  Please put me down  The civilizations advanced light years ahead  And their consciousness is something we could never comprehend  But our basic genetics are essentially the same  Which is why our discovery is so important to the race  At first they just observed us living in our habitats  But then they started taking us as guinea pigs and lab rats  Giving us silly names like Cinnamon and Flapjack and Stripping us  Of any of the dignity we had left  Found us  Our light in the dark, this is spark in the gloom  And now"
7489,"Is you ramblin' or not? If you're not concerned, what's up, Apply?  Burn those feelers, senses, and gummel-ick  Grab a bite o' hips, lip lock, and tongue-kiss  Dusted reflections, magnify the bad brains  And dirty sex on a mattress, adding to the stains  Gathered little remains, like cadavers in the rain  Bastards that have all bitches on a chain  At the end of the day, you hate them all the same  Coz you didn't find the magic in that 8-bald game  What and who are done? Up and down  You ain't never gonna get out of this town"
7490,I may never let get out and part of me thinks that I should just break down and speak but time is usually a better cure for this type of disease  It's never enough to ease the breakdown  Please never give up  My dreams are fake now  These treasures will rust  We need to break out  These tremors can bust  We need to break out
7491,"Bet I revive a dead party, scribble on my own t-shirt, re-birth to Ed Hardlitz  Sorry, call me what you want, I won't buy your CD but I'll probably swap  So ask if I heard any nice new mainstream rap types, I'll reply probably not  They probably dope, they probably hot, but broke pimps, show you how to properly rock  You're a homeless kid but your soul's a dead, no doubt from those explosive flows you're scared  You're smoking twigs, nobody dope this kid  You're a pimp, you broke him  You're a homeless"
7492,"I'm stronger I conjure these feeble beasts to charge you in fleets  It's a card in my sleeve, not so hard to believe  A carnival ride on a weekend, a sweet weakness  Sweep in the evening, squeaky clean the grievance  I'm detached from the marvels I hatched  And start up to catch myself spitting bland articles  Farcical bats are blasphemy, bohemian rhapsodies  Scheming for a safe place to sleep with Her Majesty  Please keep your distance, I'm feeding the crooks  Believe me sweetie, it's not as easy as it looks  They need me to bleed on the plates and the cutlery  They w-"
7526,"Oh yeah yeah yeah, oh yeah yeah yeah  Now what can I say that won't sound cliche  I want you with me girl every day  And if you want me to let's get it started  Give me the cue and say hey hey  This is love at first sight  Oh girl!  Yeah, it's love at first sight"
7527,"With you, I forgot what it is to be sad and new  And if one day I start to wonder  What life was like before this bliss"
7528,"Gay  Gay, gay, gay  Love gay  Gay  Gay  Gay"
7709,"I'm deep at sea, the waves roll over me, tossed in my own eternity, I'm as much as everything.  I'm good for nothing, alone again I hope to find a greater home."
7710,"What if we do? What if we do?  All the butterflies rise to the surface  I say stupid things when I get nervous  Watch the sunset, forget all the chatter  All the butterflies say it don't matter"
7711,"Forgive me for my trespasses  I do my best to exist  East of Eden, West of Garbage Town  Over accumulated  Calm armageddon, full meltdown  Oh, oh, oh, oh, oh, oh"
7712,Are we going to live up to the words we said?  Are we going to live up to the love we've made?
7713,"You gave me your hope, built us an altar Of bronze and redwood timber, the stairs are  You gave me your hope, you gave me your heart You gave me your hope, you gave me your heart"
7872,"I used to die and see you but I was long and weak and now I know that I'll be a witness for you  I was long, I was long"
8056,And there'll be no one left to miss you You better get it while you can  You better get it while you can  It's all a move of your perspective You change it like a TV channel  You better get it while you can
8256,"If I've gotta go, I want some sugar in my coffin  Well I want sugar in my coffin, I wanna cut the bitter taste  But the president's a liar, the country's falling in disgrace  I've been living with it just about as long as I can face  So if I've gotta go  I want some sugar in my coffin"
8259,"every morning. If we don't want to sober up, who's gonna force us?  Cause even if the Volstead Act hits Nevada, there's always sugar for the horses.  Always sugar, always sugar for the horses. When you're sober as a stone, and if the bourbon  isn't sweet enough to suit you, well there's always sugar for the horses."
8261,"Yodel-a-dee, yodel-a-dee, ooh-hoo  Yodel-a-dee, yodel-a-dee, ooh-hoo  Yodel-a-dee, yodel-a-dee, ooh-hoo"
8345,"The place that has the cat and I have a senior citizen that wants the room.  If it's still available on October 1st, I know both of them are going to get in touch with you before then.  And there's no way you can get in touch with me.  Are you close enough to pick up? I keep getting an answering machine."
8357,"I'm going to take off my jacket, my dear, and I'll try to see how high it is. It's naked and ready.  This is the first time I have seen such a tectonic, moving around the"
